scenario_name,tracking_error_target,frontier_mode,optimization_method,solver_success,ex_post_ic,alpha_over_ic_dispersion,realized_return_over_sigma_dispersion,transfer_coefficient,risk_weighted_transfer_coefficient,active_return,active_risk,realized_tracking_error,information_ratio,theoretical_information_ratio,trial_id,run_key
long_only,,,cvxportfolio_policy_execute,True,-0.10366960813918022,0.04151113691808256,0.6807734978640394,,,1.0052318144528739e-20,1.5264486807247242e-19,1.5264486807247242e-19,,,5,long_only
long_only_max_weight,,,cvxportfolio_policy_execute,True,-0.10366960813918022,0.04151113691808256,0.6807734978640394,0.8668541893062117,0.866829607702528,8.154049538880184e-09,1.1530632302219823e-07,1.1530632302219823e-07,0.07071641281380905,-0.28417455837567246,5,long_only_max_weight
turnover_limited,,,cvxportfolio_policy_execute,True,-0.10366960813918022,0.04151113691808256,0.6807734978640394,0.8340719161282198,0.8340482641394843,1.5947593378816343e-07,1.037125968794663e-06,1.037125968794663e-06,0.15376717832406098,-0.2734277821382069,5,turnover_limited
combined_constraints,,,cvxportfolio_policy_execute,True,-0.10366960813918022,0.04151113691808256,0.6807734978640394,-0.8674650435064616,-0.8674404445805114,-4.2499945112059755e-08,6.147346078261848e-07,6.147346078261848e-07,-0.06913543596048288,0.2843748103035001,5,combined_constraints
unconstrained,,,cvxportfolio_policy_execute,True,0.15258734919055733,0.035050981075566943,0.921394464148585,,,-1.8121663680958557e-20,9.348605905237417e-20,9.348605905237417e-20,,,6,unconstrained
long_only,,,cvxportfolio_policy_execute,True,0.15258734919055733,0.035050981075566943,0.921394464148585,,,-1.8102110199984178e-20,9.349315441779373e-20,9.349315441779373e-20,,,6,long_only
long_only_max_weight,,,cvxportfolio_policy_execute,True,0.15258734919055733,0.035050981075566943,0.921394464148585,,,-1.8102110199984178e-20,9.349315441779373e-20,9.349315441779373e-20,,,6,long_only_max_weight
turnover_limited,,,cvxportfolio_policy_execute,True,0.15258734919055733,0.035050981075566943,0.921394464148585,-0.23357942902053827,-0.20647443036449473,-1.1183384123364604e-07,1.0496103029572097e-07,1.0496103029572097e-07,-1.0654796443838381,-0.09962877833843038,6,turnover_limited
combined_constraints,,,cvxportfolio_policy_execute,True,0.15258734919055733,0.035050981075566943,0.921394464148585,-0.09200832197423453,-0.08133150289798666,1.3610089637425538e-09,3.148842026640981e-08,3.148842026640981e-08,0.04322252282672963,-0.03924436677147168,6,combined_constraints
unconstrained,,,cvxportfolio_policy_execute,True,0.05378730505051876,0.07605617644790182,0.753839923314021,,,-9.415604783349905e-19,8.826909518025592e-19,8.826909518025592e-19,,,7,unconstrained
long_only,,,cvxportfolio_policy_execute,True,0.05378730505051876,0.07605617644790182,0.753839923314021,,,-9.412063552574951e-19,8.823467725984075e-19,8.823467725984075e-19,,,7,long_only
long_only_max_weight,,,cvxportfolio_policy_execute,True,0.05378730505051876,0.07605617644790182,0.753839923314021,,,-9.412063552574951e-19,8.823467725984075e-19,8.823467725984075e-19,,,7,long_only_max_weight
turnover_limited,,,cvxportfolio_policy_execute,True,0.05378730505051876,0.07605617644790182,0.753839923314021,0.27852501454205114,0.2784996791416842,-6.575297146229766e-07,4.748614168900368e-07,4.748614168900368e-07,-1.3846770683734873,0.0473701199206769,7,turnover_limited
combined_constraints,,,cvxportfolio_policy_execute,True,0.05378730505051876,0.07605617644790182,0.753839923314021,,,-9.410082038914085e-19,8.821970544819608e-19,8.821970544819608e-19,,,7,combined_constraints
unconstrained,,,cvxportfolio_policy_execute,True,-0.21739952943983484,0.0215046989808307,0.7241380302451901,,,-7.925425306421102e-20,2.854612471280576e-19,2.854612471280576e-19,,,8,unconstrained
long_only,,,cvxportfolio_policy_execute,True,-0.21739952943983484,0.0215046989808307,0.7241380302451901,,,-7.919811759771626e-20,2.852156594324384e-19,2.852156594324384e-19,,,8,long_only
long_only_max_weight,,,cvxportfolio_policy_execute,True,-0.21739952943983484,0.0215046989808307,0.7241380302451901,-0.5937438021138765,-0.5723204181039688,2.6728469987094203e-08,1.0843295798620645e-07,1.0843295798620645e-07,0.2464976560954307,0.3934575105526545,8,long_only_max_weight
turnover_limited,,,cvxportfolio_policy_execute,True,-0.21739952943983484,0.0215046989808307,0.7241380302451901,0.594907958448493,0.573442569531116,-2.915399152125824e-08,1.5450483935859785e-07,1.5450483935859785e-07,-0.1886930638696262,-0.3942289646071004,8,turnover_limited
combined_constraints,,,cvxportfolio_policy_execute,True,-0.21739952943983484,0.0215046989808307,0.7241380302451901,-0.5901731464283185,-0.5688814891164068,3.776162089409857e-08,1.5632763931633299e-07,1.5632763931633299e-07,0.2415543473901436,0.3910933236468368,8,combined_constraints
unconstrained,,,cvxportfolio_policy_execute,True,0.2221291041506536,0.012712783840586925,0.8209560216201681,,,5.738382624021239e-19,1.111043362817369e-18,1.111043362817369e-18,,,9,unconstrained
long_only,,,cvxportfolio_policy_execute,True,0.2221291041506536,0.012712783840586925,0.8209560216201681,,,5.736354081611298e-19,1.1107132652111097e-18,1.1107132652111097e-18,,,9,long_only
long_only_max_weight,,,cvxportfolio_policy_execute,True,0.2221291041506536,0.012712783840586925,0.8209560216201681,,,5.736354081611298e-19,1.1107132652111097e-18,1.1107132652111097e-18,,,9,long_only_max_weight
turnover_limited,,,cvxportfolio_policy_execute,True,0.2221291041506536,0.012712783840586925,0.8209560216201681,-0.32317433486653346,-0.3189167391215335,-2.733915948326483e-08,5.42761392094209e-07,5.42761392094209e-07,-0.050370494072503,-0.22401793002560674,9,turnover_limited
